dataset,method,embedder,ipc,classifier,num_runs,test_acc_mean,test_acc_std,synth_time_mean
phishing,leverage_score,ln_res_l,50,mlp,5,0.9144062688366486,0.0,0.013371038436889648
phishing,leverage_score,ln_res_l,50,rf,5,0.9168173598553345,0.0,0.013371038436889648
pendigits,leverage_score,ln_res_l,50,mlp,5,0.9126743480897513,0.0,0.005638837814331055
pendigits,leverage_score,ln_res_l,50,rf,5,0.9587628865979381,1.1102230246251565e-16,0.005638837814331055
spambase,leverage_score,ln_res_l,50,mlp,5,0.8465991316931982,0.0,0.006429290771484375
spambase,leverage_score,ln_res_l,50,rf,5,0.8234442836468887,1.1102230246251565e-16,0.006429290771484375
segment,leverage_score,ln_res_l,50,mlp,5,0.8645533141210373,1.1102230246251565e-16,0.0014998912811279297
segment,leverage_score,ln_res_l,50,rf,5,0.9452449567723343,0.0,0.0014998912811279297
satimage,leverage_score,ln_res_l,50,mlp,5,0.8300518134715025,1.1102230246251565e-16,0.006982326507568359
satimage,leverage_score,ln_res_l,50,rf,5,0.8196891191709843,1.1102230246251565e-16,0.006982326507568359
bank,leverage_score,ln_res_l,50,mlp,5,0.7586257741079327,0.0,0.013392829895019531
bank,leverage_score,ln_res_l,50,rf,5,0.7935712179298142,0.0,0.013392829895019531
climate,leverage_score,ln_res_l,50,mlp,5,0.8024691358024691,0.0,0.00020151138305664064
climate,leverage_score,ln_res_l,50,rf,5,0.8765432098765432,0.0,0.00020151138305664064
magic,leverage_score,ln_res_l,50,mlp,5,0.7616543988783736,0.0,0.002065277099609375
magic,leverage_score,ln_res_l,50,rf,5,0.788994041359972,0.0,0.002065277099609375
pageblocks,leverage_score,ln_res_l,50,mlp,5,0.4799025578562729,5.551115123125783e-17,0.002675580978393555
pageblocks,leverage_score,ln_res_l,50,rf,5,0.8964677222898902,1.1102230246251565e-16,0.002675580978393555
electricity,leverage_score,ln_res_l,50,mlp,5,0.6055612770339855,0.0,0.00617523193359375
electricity,leverage_score,ln_res_l,50,rf,5,0.7007503310283949,0.0,0.00617523193359375
adult,leverage_score,ln_res_l,50,mlp,5,0.7941858878122015,0.0,0.02363114356994629
adult,leverage_score,ln_res_l,50,rf,5,0.7881807015149447,0.0,0.02363114356994629
letter,leverage_score,ln_res_l,50,mlp,5,0.7136666666666667,0.0,0.012186288833618164
letter,leverage_score,ln_res_l,50,rf,5,0.8643333333333333,0.0,0.012186288833618164
shuttle,leverage_score,ln_res_l,50,mlp,5,0.1035632183908046,0.0,0.004349756240844727
shuttle,leverage_score,ln_res_l,50,rf,5,0.9979310344827587,0.0,0.004349756240844727
credit,leverage_score,ln_res_l,50,mlp,5,0.5453333333333333,0.0,0.003351640701293945
credit,leverage_score,ln_res_l,50,rf,5,0.6768888888888889,0.0,0.003351640701293945
german,leverage_score,ln_res_l,50,mlp,5,0.64,0.0,0.014744091033935546
german,leverage_score,ln_res_l,50,rf,5,0.6933333333333334,0.0,0.014744091033935546
airlines,leverage_score,ln_res_l,50,mlp,5,0.556520986799822,0.0,0.08576526641845703
airlines,leverage_score,ln_res_l,50,rf,5,0.5404533544272507,0.0,0.08576526641845703
higgs,leverage_score,ln_res_l,50,mlp,5,0.5600353549088931,0.0,0.015324020385742187
higgs,leverage_score,ln_res_l,50,rf,5,0.5880473211857492,0.0,0.015324020385742187
madelon,leverage_score,ln_res_l,50,mlp,5,0.5230769230769231,0.0,0.03212957382202149
madelon,leverage_score,ln_res_l,50,rf,5,0.5487179487179488,0.0,0.03212957382202149
